Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier 1,Supplier Part Number 1
34,1,J10,SM06B-GHS-TB,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,"Generic connector, single row, 01x06 with mounting pin",JST Sales America Inc.,SM06B-GHS-TB,Digikey,455-1568-1-ND
35,1,J7,SM07B-GHS-TB,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal,"Generic connector, single row, 01x07 with mounting pin",JST Sales America Inc.,SM07B-GHS-TB,Digikey,455-1569-1-ND
36,1,J6,SM08B-GHS-TB,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,"Generic connector, single row, 01x08 with mounting pin",JST Sales America Inc.,SM08B-GHS-TB,Digikey,455-1570-1-ND
37,1,J1,XT60PW-F,https://www.tme.eu/Document/1191bc2fa3aee3c446e5a895fd8f7983/XT60PW-F.pdf,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,"Generic connector, single row with mounting pin",AMASS,XT60PW-F,Transfer Multisort Elektronik,XT60PW-F
38,1,J2,XT60PW-M,https://www.tme.eu/Document/b13629717d44ae038681dba08d18c0b6/XT60PW-M.pdf,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,"Generic connector, single row with mounting pin",AMASS,XT60PW-M,Transfer Multisort Elektronik,XT60PW-M
39,1,L3,2u2,https://www.coilcraft.com/getmedia/3ba581dc-6d87-4be6-9dea-9167ac97554d/lps3314.pdf,L_Coilcraft_LPS3314,Inductor,Coilcraft,LPS3314-222MRC,Mouser,994-LPS3314-222MRC
40,2,L1 L2,22u,https://www.coilcraft.com/getmedia/31b05c96-4c4c-4498-8dbb-fe092de76bad/lps4018.pdf,L_Coilcraft_LPS4018,Inductor,Coilcraft,LPS4018-223MRC,Mouser,994-LPS4018-223MRC
41,3,Q7 Q8 Q9,PMV90ENER,https://assets.nexperia.com/documents/data-sheet/PMV90ENE.pdf,SOT-23-3,N-Channel 30 V 3A (Ta) 460mW (Ta) Surface Mount TO-236AB,Nexperia USA Inc.,PMV90ENER,Digikey,1727-2735-1-ND
42,6,Q1 Q2 Q3 Q4 Q5 Q6,"TPW1R306PL,L1Q",https://toshiba.semicon-storage.com/info/TPW1R306PL_datasheet_en_20191021.pdf?did=55843&prodName=TPW1R306PL,2-5S1A,N-Channel 60 V 260A (Tc) 170W (Tc) Surface Mount DSOP Advance 2-5S1A,Toshiba Semiconductor and Storage,"TPW1R306PL,L1Q",Digikey,TPW1R306PLL1QCT-ND
43,3,R12 R15 R18,0m5 1% 2W,https://www.seielect.com/catalog/sei-hcs.pdf,HCS1206FTL500,"Resistor, small symbol",Stackpole Electronics Inc,HCS1206FTL500,Digikey,HCS1206FTL500CT-ND
44,3,R4 R31 R32,0R,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ2GE0R00X,R_0402_1005_DensityHigh,"Resistor Resistor, small symbol",Panasonic Electronic Components,ERJ-2GE0R00X,Digikey,P0.0JCT-ND
45,1,R53,0R,https://www.vishay.com/docs/20043/crcwhpe3.pdf,R_0603_1608_DensityHigh,"Resistor, small symbol",Vishay,CRCW06030000Z0EAHP,Digikey,541-0.0SBCT-ND
46,6,R55 R56 R57 R58 R59 R60,5R 1% 0.4W,https://www.seielect.com/catalog/sei-csrt.pdf,R_0603_1608_DensityHigh,"Resistor, small symbol",Stackpole Electronics Inc,CSRT0603FT5R00,Digikey,738-CSRT0603FT5R00CT-ND
47,6,R10 R11 R13 R14 R16 R17,7R5 1% 1/2W,https://www.vishay.com/docs/20043/crcwhpe3.pdf,R_0805_2012_DensityHigh,"Resistor, small symbol",Vishay,CRCW08057R50FKEAHP,Digikey,541-7.50TCT-ND
48,1,R34,10R 1%,https://www.vishay.com/docs/20043/crcwhpe3.pdf,R_0603_1608_DensityHigh,"Resistor, small symbol",Vishay,CRCW060310R0FKEAHP,Digikey,541-10.0SCT-ND
